climate,:climate_zone,:weather_station,:window_u,:window_shgc,:wall_cavity,:wall_exterior_sheathing,:ceiling_cavity,:ceiling_sheathing,:frame_path_cavity
cz01,CZ1  (Arcata),CTZ01S22A,0.3,0.35,,,R 38,R7 Sheathing,2x12 @ 16 in. O.C.
cz02,CZ2  (Santa Rosa),CTZ02S22A,0.3,0.23,,,R 30,R5 Sheathing,2x10 @ 16 in. O.C.
cz03,CZ3  (Oakland),CTZ03S22A,0.3,0.35,,,R 30,R5 Sheathing,2x10 @ 16 in. O.C.
cz04,CZ4  (San Jose),CTZ04S22A,0.3,0.23,,,R 30,R5 Sheathing,2x10 @ 16 in. O.C.
cz05,CZ5  (Santa Maria),CTZ05S22A,0.3,0.35,,,R 30,R5 Sheathing,2x10 @ 16 in. O.C.
cz06,CZ6  (Torrance),CTZ06S22A,0.3,0.23,R 19,2.5,R 30,R5 Sheathing,2x10 @ 16 in. O.C.
cz07,CZ7  (San Diego),CTZ07S22A,0.3,0.23,R 19,2.5,R 30,R5 Sheathing,2x10 @ 16 in. O.C.
cz08,CZ8  (Fullerton),CTZ08S22A,0.3,0.23,,,R 30,R5 Sheathing,2x10 @ 16 in. O.C.
cz09,CZ9  (Burbank),CTZ09S22A,0.3,0.23,,,R 30,R5 Sheathing,2x10 @ 16 in. O.C.
cz10,CZ10  (Riverside),CTZ10S22A,0.3,0.23,,,R 30,R5 Sheathing,2x10 @ 16 in. O.C.
cz11,CZ11  (Red Bluff),CTZ11S22A,0.3,0.23,R 33,4,R 38,R7 Sheathing,2x12 @ 16 in. O.C.
cz12,CZ12  (Sacramento),CTZ12S22A,0.3,0.23,,,R 38,R7 Sheathing,2x12 @ 16 in. O.C.
cz13,CZ13  (Fresno),CTZ13S22A,0.3,0.23,,,R 38,R7 Sheathing,2x12 @ 16 in. O.C.
cz14,CZ14  (Palmdale),CTZ14S22A,0.3,0.23,R 33,4,R 38,R7 Sheathing,2x12 @ 16 in. O.C.
cz15,CZ15  (Palm Springs),CTZ15S22A,0.3,0.23,R 33,4,R 38,R7 Sheathing,2x12 @ 16 in. O.C.
cz16,CZ16  (Blue Canyon),CTZ16S22A,0.3,0.35,R 33,4,R 38,R7 Sheathing,2x12 @ 16 in. O.C.
