climate,:climate_zone,:weather_station,:window_u,:window_shgc,:wall_cavity,:wall_exterior_sheathing,:ceiling_cavity,:ceiling_sheathing,:asr,:te,:radiantbarrier_attic,:attic_ins
cz01,CZ1  (Arcata),CTZ01S22A,0.3,0.35,R 21,4,R 38,,0.1,0.75,0,- no insulation -
cz02,CZ2  (Santa Rosa),CTZ02S22A,0.3,0.23,R 21,4,R 30,,0.1,0.75,1,- no insulation -
cz03,CZ3  (Oakland),CTZ03S22A,0.3,0.35,R 21,4,R 30,,0.1,0.75,1,- no insulation -
cz04,CZ4  (San Jose),CTZ04S22A,0.3,0.23,R 21,4,R 30,,0.1,0.75,0,R 19
cz05,CZ5  (Santa Maria),CTZ05S22A,0.3,0.35,R 21,4,R 30,,0.1,0.75,1,- no insulation -
cz06,CZ6  (Torrance),CTZ06S22A,0.3,0.23,R 21,0.7,R 30,,0.1,0.75,1,- no insulation -
cz07,CZ7  (San Diego),CTZ07S22A,0.3,0.23,R 21,0.7,R 30,,0.1,0.75,1,- no insulation -
cz08,CZ8  (Fullerton),CTZ08S22A,0.3,0.23,R 21,4,R 30,,0.1,0.75,0,R 19
cz09,CZ9  (Burbank),CTZ09S22A,0.3,0.23,R 21,4,R 30,,0.1,0.75,0,R 19
cz10,CZ10  (Riverside),CTZ10S22A,0.3,0.23,R 21,4,R 30,,0.1,0.75,0,R 19
cz11,CZ11  (Red Bluff),CTZ11S22A,0.3,0.23,R 21,4,R 38,,0.1,0.75,0,R 19
cz12,CZ12  (Sacramento),CTZ12S22A,0.3,0.23,R 21,4,R 38,,0.1,0.75,0,R 19
cz13,CZ13  (Fresno),CTZ13S22A,0.3,0.23,R 21,4,R 38,,0.63,0.75,0,R 19
cz14,CZ14  (Palmdale),CTZ14S22A,0.3,0.23,R 21,4,R 38,,0.1,0.75,0,R 19
cz15,CZ15  (Palm Springs),CTZ15S22A,0.3,0.23,R 21,4,R 38,,0.63,0.75,0,R 19
cz16,CZ16  (Blue Canyon),CTZ16S22A,0.3,0.35,R 21,4,R 38,,0.1,0.75,0,R 13
