climate,:climate_zone,:weather_station,:window_u,:window_shgc,:wall_cavity,:wall_exterior_sheathing,:ceiling_cavity,:ceiling_sheathing,:frame_path_cavity,:asr,:te
cz01,CZ1  (Arcata),CTZ01S22A,0.3,0.35,R 21,4,R 38,R2 Sheathing,2x12 @ 16 in. O.C.,0.1,0.75
cz02,CZ2  (Santa Rosa),CTZ02S22A,0.3,0.23,R 21,4,R 38,R2 Sheathing,2x12 @ 16 in. O.C.,0.1,0.75
cz03,CZ3  (Oakland),CTZ03S22A,0.3,0.35,R 21,4,R 30,R2 Sheathing,2x10 @ 16 in. O.C.,0.1,0.75
cz04,CZ4  (San Jose),CTZ04S22A,0.3,0.23,R 21,4,R 38,R2 Sheathing,2x12 @ 16 in. O.C.,0.1,0.75
cz05,CZ5  (Santa Maria),CTZ05S22A,0.3,0.35,R 21,4,R 30,R2 Sheathing,2x10 @ 16 in. O.C.,0.1,0.75
cz06,CZ6  (Torrance),CTZ06S22A,0.3,0.23,R 21,0.7,R 30,R2 Sheathing,2x10 @ 16 in. O.C.,0.1,0.75
cz07,CZ7  (San Diego),CTZ07S22A,0.3,0.23,R 21,0.7,R 28,- no insulation -,2x10 @ 16 in. O.C.,0.1,0.75
cz08,CZ8  (Fullerton),CTZ08S22A,0.3,0.23,R 21,4,R 38,R2 Sheathing,2x12 @ 16 in. O.C.,0.1,0.75
cz09,CZ9  (Burbank),CTZ09S22A,0.3,0.23,R 21,4,R 38,R2 Sheathing,2x12 @ 16 in. O.C.,0.63,0.75
cz10,CZ10  (Riverside),CTZ10S22A,0.3,0.23,R 21,4,R 38,R2 Sheathing,2x12 @ 16 in. O.C.,0.63,0.75
cz11,CZ11  (Red Bluff),CTZ11S22A,0.3,0.23,R 21,4,R 38,R2 Sheathing,2x12 @ 16 in. O.C.,0.63,0.75
cz12,CZ12  (Sacramento),CTZ12S22A,0.3,0.23,R 21,4,R 38,R2 Sheathing,2x12 @ 16 in. O.C.,0.1,0.75
cz13,CZ13  (Fresno),CTZ13S22A,0.3,0.23,R 21,4,R 38,R2 Sheathing,2x12 @ 16 in. O.C.,0.63,0.75
cz14,CZ14  (Palmdale),CTZ14S22A,0.3,0.23,R 21,4,R 38,R2 Sheathing,2x12 @ 16 in. O.C.,0.63,0.75
cz15,CZ15  (Palm Springs),CTZ15S22A,0.3,0.23,R 21,4,R 38,R2 Sheathing,2x12 @ 16 in. O.C.,0.63,0.75
cz16,CZ16  (Blue Canyon),CTZ16S22A,0.3,0.35,R 21,4,R 38,R2 Sheathing,2x12 @ 16 in. O.C.,0.1,0.75
