Index,Zone_Name,Count,ThermalZone_Name
1,ZnSys F10 1-Bed N,2,Thermal Zone: F10 1-Bed N
2,ZnSys F10 1-Bed SE,2,Thermal Zone: F10 1-Bed SE
3,ZnSys F10 1-Bed SW,2,Thermal Zone: F10 1-Bed SW
4,ZnSys F10 2-Bed N Core,1,Thermal Zone: F10 2-Bed N Core
5,ZnSys F10 2-Bed NE,1,Thermal Zone: F10 2-Bed NE
6,ZnSys F10 2-Bed NW,1,Thermal Zone: F10 2-Bed NW
7,ZnSys F10 2-Bed SE,1,Thermal Zone: F10 2-Bed SE
8,ZnSys F10 2-Bed SW,1,Thermal Zone: F10 2-Bed SW
9,ZnSys F10 Studio N,2,Thermal Zone: F10 Studio N
10,ZnSys F2-9 1-Bed N,16,Thermal Zone: F2-9 1-Bed N
11,ZnSys F2-9 1-Bed SE,16,Thermal Zone: F2-9 1-Bed SE
12,ZnSys F2-9 1-Bed SW,16,Thermal Zone: F2-9 1-Bed SW
13,ZnSys F2-9 2-Bed N Core,8,Thermal Zone: F2-9 2-Bed N Core
14,ZnSys F2-9 2-Bed NE,8,Thermal Zone: F2-9 2-Bed NE
15,ZnSys F2-9 2-Bed NW,8,Thermal Zone: F2-9 2-Bed NW
16,ZnSys F2-9 2-Bed SE,8,Thermal Zone: F2-9 2-Bed SE
17,ZnSys F2-9 2-Bed SW,8,Thermal Zone: F2-9 2-Bed SW
18,ZnSys F2-9 Studio N,16,Thermal Zone: F2-9 Studio N
